year,wind,wind_constraint,wind_curtailment,solar,solar_constraint,solar_curtailment
2016,3.20%,1.30%,1.90%,0.00%,0.00%,0.00%
2017,5.00%,1.90%,3.10%,0.00%,0.00%,0.00%
2018,9.40%,4.00%,5.40%,0.00%,0.00%,0.00%
2019,10.70%,4.70%,6.00%,4.20%,2.50%,1.70%
2020,14.80%,6.60%,8.20%,6.30%,4.30%,2.00%
2021,7.80%,4.20%,3.60%,2.90%,2.30%,0.50%
2022,9.40%,5.80%,3.60%,4.60%,4.10%,0.60%
2023,18.60%,14.10%,4.50%,7.90%,6.40%,1.40%
2024,29.60%,26.40%,3.20%,16.90%,15.60%,1.40%
2025,22.00%,18.60%,3.30%,12.90%,10.70%,2.30%
